id,sIP, dIP, sPort, dPort, Proto, Packets, Bytes, Flags, Duration
1,3232249957,3232249958,37606,443,6,6,867,27,0.004
1,3232249958,3232249957,443,37606,6,5,1818,27,0.004
1,3232249957,3232249958,37608,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37608,6,4,1766,27,0.007
1,3232249957,3232249958,37610,443,6,7,919,27,0.011
1,3232249958,3232249957,443,37610,6,4,1766,27,0.011
1,3232249957,3232249958,37612,443,6,7,919,27,0.008
1,3232249958,3232249957,443,37612,6,4,1766,27,0.008
1,3232249957,3232249958,37614,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37614,6,4,1766,27,0.007
1,3232249957,3232249958,37616,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37616,6,4,1766,27,0.004
